trades,wins,losses,winrate,profit_factor,net_R,avg_R,max_dd_R,avg_risk_pct,tp_exits,sl_exits,tp_bsl,tp_ssl,tp_fvg,tp_rr,sl_sources,name
18,9,9,50.0,1.803,6.783,0.377,3.581,0.618,3,6,4,2,0,12,"{""failed_liq"": 18}",SL_failed_liq+eq_on
15,6,9,40.0,1.735,5.055,0.337,1.806,0.6071,3,4,2,3,0,10,"{""failed_liq"": 15}",SL_failed_liq+orb_on
54,23,31,42.59,1.435,14.699,0.272,7.768,0.6029,12,26,10,23,0,21,"{""failed_liq"": 54}",SL_failed_liq+kz_on
35,16,19,45.71,1.393,5.588,0.16,5.155,0.7005,3,9,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+hold6h
34,14,20,41.18,1.303,4.688,0.138,3.726,0.712,4,10,7,5,0,22,"{""failed_liq"": 34}",SL_failed_liq+buf05
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+minRR30
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+wick70
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+hold8h
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+buf02
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+ema_on
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+orb_off
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+eq_off
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+ny_sess
35,14,21,40.0,1.253,4.165,0.119,3.77,0.7005,6,10,13,9,0,13,"{""failed_liq"": 35}",SL_failed_liq+minRR20
35,14,21,40.0,1.252,4.239,0.121,3.704,0.6953,4,11,8,5,0,22,"{""failed_liq"": 35}",SL_failed_liq+buf01
35,14,21,40.0,1.237,3.905,0.112,3.77,0.7005,5,10,10,6,0,19,"{""failed_liq"": 35}",SL_failed_liq+minRR25
54,21,33,38.89,1.122,3.494,0.065,6.816,0.7393,6,21,11,10,0,33,"{""failed_liq"": 54}",SL_failed_liq+wick60
35,14,21,40.0,1.079,1.452,0.041,4.941,0.7005,4,13,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq+hold12h
53,20,33,37.74,1.048,1.395,0.026,7.382,0.6565,6,22,18,14,0,21,"{""failed_liq"": 53}",SL_failed_liq+ema_off
48,17,31,35.42,0.894,-4.147,-0.086,10.847,0.472,5,26,16,14,0,18,"{""nearest_swing"": 48}",SL_failed_liq+sl_swing
49,14,35,28.57,0.642,-18.421,-0.376,27.588,0.307,8,32,20,17,0,12,"{""reject"": 25, ""nearest_swing"": 10, ""ob"": 12, ""local_swing"": 2}",SL_failed_liq+sl_tight
46,12,34,26.09,0.55,-19.977,-0.434,27.789,0.3743,6,30,19,15,0,12,"{""reject"": 46}",SL_failed_liq+sl_reject
