trades,wins,losses,winrate,profit_factor,net_R,avg_R,max_dd_R,avg_risk_pct,tp_exits,sl_exits,tp_bsl,tp_ssl,tp_fvg,tp_rr,sl_sources,name
1,1,0,100.0,999.0,1.401,1.401,0.0,0.3998,0,0,0,0,0,1,"{""nearest_swing"": 1}",C_orb_kz
1,1,0,100.0,999.0,1.401,1.401,0.0,0.3998,0,0,0,0,0,1,"{""nearest_swing"": 1}",C_full_stack
1,1,0,100.0,999.0,1.401,1.401,0.0,0.3998,0,0,0,0,0,1,"{""nearest_swing"": 1}",C_swing_orb_kz
2,1,1,50.0,2.561,2.085,1.042,0.0,0.3526,1,1,2,0,0,0,"{""reject"": 1, ""ob"": 1}",C_orb_pd_ema
35,14,21,40.0,1.264,4.347,0.124,3.77,0.7005,4,10,7,5,0,23,"{""failed_liq"": 35}",SL_failed_liq
48,17,31,35.42,0.894,-4.147,-0.086,10.847,0.472,5,26,16,14,0,18,"{""nearest_swing"": 48}",SL_nearest_swing
98,30,68,30.61,0.806,-20.074,-0.205,28.222,0.2813,22,64,37,49,0,12,"{""reject"": 36, ""ob"": 29, ""nearest_swing"": 20, ""local_swing"": 13}",C_kz_wick60
46,14,32,30.43,0.74,-10.651,-0.232,18.629,0.4112,8,27,19,14,0,13,"{""ob"": 46}",SL_ob
49,14,35,28.57,0.642,-18.421,-0.376,27.588,0.307,8,32,20,17,0,12,"{""reject"": 25, ""nearest_swing"": 10, ""ob"": 12, ""local_swing"": 2}",SL_tight_best
66,16,50,24.24,0.614,-29.72,-0.45,33.436,0.2486,14,47,24,34,0,8,"{""reject"": 27, ""ob"": 22, ""nearest_swing"": 10, ""local_swing"": 7}",C_killzone
8,2,6,25.0,0.572,-3.495,-0.437,4.738,0.4089,1,5,5,2,0,1,"{""nearest_swing"": 1, ""reject"": 6, ""ob"": 1}",C_pdh_pdl
24,6,18,25.0,0.554,-12.635,-0.526,23.028,0.2865,4,17,14,5,0,5,"{""reject"": 13, ""nearest_swing"": 7, ""ob"": 3, ""local_swing"": 1}",C_eqh_eql
46,12,34,26.09,0.55,-19.977,-0.434,27.789,0.3743,6,30,19,15,0,12,"{""reject"": 46}",SL_reject
25,6,19,24.0,0.494,-14.165,-0.567,14.305,0.3117,3,17,11,6,0,8,"{""ob"": 10, ""reject"": 9, ""nearest_swing"": 6}",C_ny_orb
48,12,36,25.0,0.478,-28.937,-0.603,31.223,0.3469,9,34,25,13,0,10,"{""ob"": 17, ""reject"": 20, ""nearest_swing"": 11}",C_orb_wick60_rr25
35,7,28,20.0,0.383,-27.125,-0.775,28.404,0.2409,4,26,18,9,0,8,"{""ob"": 13, ""reject"": 13, ""nearest_swing"": 8, ""local_swing"": 1}",C_orb_no_ema
23,4,19,17.39,0.317,-16.885,-0.734,16.94,0.3586,2,16,10,5,0,8,"{""reject"": 23}",C_reject_orb
12,2,10,16.67,0.255,-11.548,-0.962,11.615,0.3249,1,10,8,1,0,3,"{""nearest_swing"": 4, ""ob"": 4, ""reject"": 4}",C_orb_eq
25,4,21,16.0,0.228,-24.105,-0.964,26.391,0.3414,3,21,16,5,0,4,"{""ob"": 8, ""reject"": 11, ""nearest_swing"": 6}",C_orb_eq_wick60
