trades,wins,losses,winrate,profit_factor,net_R,avg_R,max_dd_R,tp_exits,sl_exits,tp_bsl,tp_ssl,tp_fvg,tp_rr,name
363,185,178,50.96,0.527,-62.416,-0.172,64.918,259,102,176,185,0,2,E_wick60+rr25
364,185,179,50.82,0.523,-62.945,-0.173,65.447,261,102,176,186,0,2,E_wick60+wick60
364,185,179,50.82,0.523,-62.945,-0.173,65.447,261,102,176,186,0,2,E_wick60+rr20
364,185,179,50.82,0.523,-62.945,-0.173,65.447,261,102,176,186,0,2,E_wick60+hold24h
364,185,179,50.82,0.523,-62.945,-0.173,65.447,261,102,176,186,0,2,E_wick60+gap20
364,185,179,50.82,0.523,-62.945,-0.173,65.447,261,102,176,186,0,2,E_wick60+nomss
364,185,179,50.82,0.523,-62.972,-0.173,65.474,261,102,176,186,0,2,E_wick60+cd5
366,186,180,50.82,0.519,-64.05,-0.175,66.552,262,103,176,188,0,2,E_wick60+gap30
368,190,178,51.63,0.515,-60.069,-0.163,62.081,268,99,177,189,0,2,E_wick60+sl10
364,185,179,50.82,0.515,-63.945,-0.176,66.447,261,102,176,186,0,2,E_wick60+rr15
353,179,174,50.71,0.509,-64.691,-0.183,66.774,250,102,170,181,0,2,E_wick60+gap15
364,182,182,50.0,0.509,-65.259,-0.179,66.771,257,102,176,186,0,2,E_wick60+hold12h
368,182,186,49.46,0.507,-65.856,-0.179,67.268,256,99,178,188,0,2,E_wick60+hold6h
364,184,180,50.55,0.502,-66.68,-0.183,69.182,259,104,176,187,0,1,E_wick60+cd15
490,242,248,49.39,0.482,-97.156,-0.198,97.944,342,146,245,242,0,3,E_wick60+wick45
413,203,210,49.15,0.48,-80.921,-0.196,82.598,291,121,210,200,0,3,E_wick60+wick55
469,232,237,49.47,0.475,-93.766,-0.2,95.833,328,139,236,230,0,3,E_wick60+wick50
359,177,182,49.3,0.461,-77.617,-0.216,78.318,251,107,173,184,0,2,E_wick60+sl02
