trades,wins,losses,winrate,profit_factor,net_R,avg_R,max_dd_R,tp_exits,sl_exits,tp_bsl,tp_ssl,tp_fvg,tp_rr,name
116,45,71,38.79,1.325,25.053,0.216,12.912,27,65,19,28,0,69,O_minRR30_ema_sess
117,47,70,40.17,1.134,10.124,0.087,14.335,33,64,34,40,0,43,I_minRR20_ema_sess
201,72,129,35.82,0.904,-12.952,-0.064,23.317,50,112,56,70,0,75,G_minRR20_ema
396,134,262,33.84,0.87,-39.725,-0.1,49.179,111,251,129,143,0,124,M_minRR20_pivot2
163,54,109,33.13,0.858,-17.234,-0.106,33.333,40,103,62,57,0,44,H_minRR20_session_LN
279,87,192,31.18,0.83,-35.618,-0.128,44.5,51,174,90,95,0,94,C_minRR25
628,196,432,31.21,0.786,-109.809,-0.175,122.329,147,416,252,256,0,120,N_minRR20_no_rej
323,109,214,33.75,0.784,-46.7,-0.145,56.881,54,170,121,125,0,77,L_minRR20_hold12h
210,67,143,31.9,0.775,-35.344,-0.168,43.244,49,131,85,72,0,53,E_minRR20_full
282,88,194,31.21,0.769,-48.425,-0.172,56.056,60,174,103,106,0,73,B_minRR20
282,88,194,31.21,0.769,-48.425,-0.172,56.056,60,174,103,106,0,73,K_minRR20_liq_only
339,107,232,31.56,0.734,-66.77,-0.197,70.564,74,209,123,125,0,91,F_minRR20_wick50
152,45,107,29.61,0.721,-33.112,-0.218,43.79,37,99,55,55,0,42,P_minRR20_wick70_full
213,74,139,34.74,0.717,-43.651,-0.205,54.657,58,129,96,78,0,39,D_minRR15_full
285,95,190,33.33,0.711,-59.759,-0.21,64.562,71,172,0,0,0,285,J_minRR20_fvg_first
286,96,190,33.57,0.697,-62.743,-0.219,71.792,69,172,115,116,0,55,A_minRR15_wick60
