side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source
short,2025-07-26 15:10:00+00:00,2025-07-26 15:15:00+00:00,117919.28,118279.11,117855.15,117855.15,tp,ssl
long,2025-07-26 16:30:00+00:00,2025-07-26 19:45:00+00:00,118074.33,117759.2909,118188.97,118188.97,tp,bsl
long,2025-07-26 20:15:00+00:00,2025-07-27 00:05:00+00:00,118067.53,117882.98902000001,118297.35,117882.98902000001,sl,bsl
short,2025-07-27 00:20:00+00:00,2025-07-27 00:30:00+00:00,117906.85,118356.498675,117829.73,117829.73,tp,ssl
long,2025-07-27 07:00:00+00:00,2025-07-27 07:50:00+00:00,118215.01,118101.75958,118438.83,118101.75958,sl,bsl
long,2025-07-27 12:25:00+00:00,2025-07-27 13:00:00+00:00,117979.78,117801.05001,118111.34,118111.34,tp,bsl
short,2025-07-28 00:15:00+00:00,2025-07-28 00:40:00+00:00,119619.03,119826.53332499998,119326.21,119326.21,tp,ssl
short,2025-07-28 05:05:00+00:00,2025-07-28 05:40:00+00:00,119275.04,119483.29178999999,119128.46,119483.29178999999,sl,ssl
long,2025-07-28 07:00:00+00:00,2025-07-28 07:05:00+00:00,119266.59,119068.89577000002,119489.84,119068.89577000002,sl,bsl
short,2025-07-28 12:00:00+00:00,2025-07-28 12:20:00+00:00,118797.64,119079.33991499999,118475.47,119079.33991499999,sl,ssl
short,2025-07-28 19:05:00+00:00,2025-07-29 00:15:00+00:00,118087.58,118435.79830499999,117427.5,118435.79830499999,sl,ssl
long,2025-07-29 00:30:00+00:00,2025-07-29 03:40:00+00:00,117820.01,117441.339955,118450.0,118450.0,tp,bsl
short,2025-07-29 20:15:00+00:00,2025-07-30 02:10:00+00:00,117685.45,118059.0,116950.75,118059.0,sl,ssl
long,2025-07-30 05:10:00+00:00,2025-07-30 06:40:00+00:00,117711.48,117353.823735,118275.18,118275.18,tp,bsl
