side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source
short,2025-07-26 14:40:00+00:00,2025-07-26 15:15:00+00:00,118083.99,118279.11,117855.15,117855.15,tp,ssl
short,2025-07-26 15:50:00+00:00,2025-07-26 19:45:00+00:00,118138.67,118279.11,117818.2,118279.11,sl,ssl
long,2025-07-26 20:15:00+00:00,2025-07-27 00:05:00+00:00,118067.53,117882.98902000001,118297.35,117882.98902000001,sl,bsl
short,2025-07-27 00:20:00+00:00,2025-07-27 00:30:00+00:00,117906.85,118356.498675,117829.73,117829.73,tp,ssl
long,2025-07-27 06:05:00+00:00,2025-07-27 06:45:00+00:00,118208.39,118101.75958,118358.18,118358.18,tp,bsl
long,2025-07-27 07:00:00+00:00,2025-07-27 07:50:00+00:00,118215.01,118101.75958,118438.83,118101.75958,sl,bsl
long,2025-07-27 12:25:00+00:00,2025-07-27 13:00:00+00:00,117979.78,117801.05001,118111.34,118111.34,tp,bsl
short,2025-07-28 00:15:00+00:00,2025-07-28 00:40:00+00:00,119619.03,119826.53332499998,119326.21,119326.21,tp,ssl
short,2025-07-28 02:15:00+00:00,2025-07-28 02:30:00+00:00,119368.45,119750.16516,118960.5,119750.16516,sl,ssl
long,2025-07-28 03:10:00+00:00,2025-07-28 05:40:00+00:00,119365.16,118901.01975,119521.03,119521.03,tp,bsl
long,2025-07-28 05:40:00+00:00,2025-07-28 07:05:00+00:00,119514.75,119068.89577000002,119800.0,119068.89577000002,sl,bsl
short,2025-07-28 09:50:00+00:00,2025-07-28 10:40:00+00:00,118978.22,119162.241345,118704.01,118704.01,tp,ssl
short,2025-07-28 11:00:00+00:00,2025-07-28 11:20:00+00:00,118827.48,119079.33991499999,118620.22,118620.22,tp,ssl
short,2025-07-28 13:35:00+00:00,2025-07-28 13:55:00+00:00,118803.44,119153.22683999999,118271.0,118271.0,tp,ssl
