side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source
short,2025-07-26 23:05:00+00:00,2025-07-26 23:30:00+00:00,117960.04,118356.498675,117892.79,117892.79,tp,ssl
long,2025-07-28 05:50:00+00:00,2025-07-28 07:05:00+00:00,119679.36,119068.89577000002,119800.0,119068.89577000002,sl,bsl
short,2025-07-28 19:25:00+00:00,2025-07-29 00:15:00+00:00,118092.85,118435.79830499999,117427.5,118435.79830499999,sl,ssl
long,2025-07-29 00:15:00+00:00,2025-07-29 03:45:00+00:00,118285.72,117441.339955,118500.0,118500.0,tp,bsl
short,2025-07-29 20:25:00+00:00,2025-07-29 20:40:00+00:00,117561.58,118059.0,117105.26,117105.26,tp,ssl
long,2025-07-30 08:25:00+00:00,2025-07-30 08:40:00+00:00,118160.0,117608.496335,118263.76,118263.76,tp,bsl
short,2025-07-30 11:10:00+00:00,2025-07-30 11:15:00+00:00,118081.68,118541.050905,117928.13,117928.13,tp,ssl
short,2025-07-31 16:05:00+00:00,2025-07-31 16:30:00+00:00,118246.59,118761.45105,118127.49,118761.45105,sl,ssl
short,2025-08-01 06:20:00+00:00,2025-08-01 06:25:00+00:00,115385.69,115974.38821499998,115266.64,115266.64,tp,ssl
long,2025-08-02 08:15:00+00:00,2025-08-02 08:20:00+00:00,113994.27,113412.695285,114021.0,114021.0,tp,bsl
long,2025-08-02 20:50:00+00:00,2025-08-02 21:45:00+00:00,112547.11,111946.9985,112945.62,112945.62,tp,bsl
short,2025-08-04 19:20:00+00:00,2025-08-04 19:25:00+00:00,114940.01,115777.86,114887.09,114887.09,tp,ssl
long,2025-08-04 22:50:00+00:00,2025-08-05 03:05:00+00:00,115293.74,114559.021835,115720.0,114559.021835,sl,bsl
long,2025-08-07 14:35:00+00:00,2025-08-07 15:40:00+00:00,116630.23,115977.82208,116696.42,116696.42,tp,bsl
long,2025-08-07 16:20:00+00:00,2025-08-07 16:40:00+00:00,116709.06,116146.21784000001,116791.11,116146.21784000001,sl,bsl
short,2025-08-08 09:20:00+00:00,2025-08-08 10:40:00+00:00,116505.52,117031.78665,116449.51,116449.51,tp,ssl
long,2025-08-10 18:50:00+00:00,2025-08-10 19:40:00+00:00,118581.49,118248.86599,118693.02,118693.02,tp,bsl
long,2025-08-12 17:45:00+00:00,2025-08-12 18:15:00+00:00,119471.98,118572.37415500001,119857.04,119857.04,tp,bsl
short,2025-08-13 07:35:00+00:00,2025-08-13 08:30:00+00:00,119315.17,119880.09008999998,119135.37,119880.09008999998,sl,ssl
long,2025-08-13 13:45:00+00:00,2025-08-14 00:05:00+00:00,121056.21,119711.99406000001,123744.64188,123744.64188,tp,rr
long,2025-08-15 12:05:00+00:00,2025-08-15 12:10:00+00:00,119072.18,118812.56400000001,119096.0,119096.0,tp,bsl
short,2025-08-15 19:20:00+00:00,2025-08-15 19:40:00+00:00,117148.11,117941.291175,117008.0,117008.0,tp,ssl
long,2025-08-16 13:50:00+00:00,2025-08-16 15:00:00+00:00,117683.15,117268.96618500001,117789.33,117789.33,tp,bsl
short,2025-08-18 07:45:00+00:00,2025-08-18 07:50:00+00:00,115348.24,115770.346245,115188.62,115188.62,tp,ssl
short,2025-08-21 01:10:00+00:00,2025-08-21 01:15:00+00:00,114196.0,114672.68768999999,114010.87,114010.87,tp,ssl
long,2025-08-21 14:50:00+00:00,2025-08-21 15:10:00+00:00,113389.02,112893.52500000001,113995.11,112893.52500000001,sl,bsl
long,2025-08-22 19:00:00+00:00,2025-08-22 21:45:00+00:00,116892.78,116057.94200000001,117137.46,117137.46,tp,bsl
long,2025-08-23 06:55:00+00:00,2025-08-23 11:50:00+00:00,115781.16,115400.4709,116034.53,115400.4709,sl,bsl
short,2025-08-24 09:50:00+00:00,2025-08-24 10:30:00+00:00,114901.01,115182.42242999999,114668.0,114668.0,tp,ssl
short,2025-08-24 15:35:00+00:00,2025-08-24 15:45:00+00:00,114604.37,114926.844705,114571.28,114571.28,tp,ssl
short,2025-08-24 17:15:00+00:00,2025-08-24 19:30:00+00:00,114321.01,114922.75266,114236.0,114236.0,tp,ssl
short,2025-08-26 14:10:00+00:00,2025-08-26 18:40:00+00:00,109895.92,110874.0093,109393.93,110874.0093,sl,ssl
long,2025-08-28 03:05:00+00:00,2025-08-28 04:35:00+00:00,111767.99,110806.98879,112452.05,112452.05,tp,bsl
short,2025-08-29 19:30:00+00:00,2025-08-29 20:05:00+00:00,108476.95,108886.416,107934.24,107934.24,tp,ssl
short,2025-08-29 23:05:00+00:00,2025-08-30 00:35:00+00:00,108373.94,108798.37199999999,108207.8,108207.8,tp,ssl
short,2025-08-31 12:50:00+00:00,2025-08-31 12:55:00+00:00,108322.85,108682.944315,108310.43,108310.43,tp,ssl
short,2025-08-31 14:05:00+00:00,2025-08-31 15:00:00+00:00,108289.97,108540.37306499999,108214.14,108540.37306499999,sl,ssl
short,2025-09-02 08:05:00+00:00,2025-09-02 08:50:00+00:00,110138.56,110665.80524999999,110000.0,110665.80524999999,sl,ssl
short,2025-09-07 19:45:00+00:00,2025-09-07 22:00:00+00:00,111197.51,111467.70599999999,111049.05,111049.05,tp,ssl
short,2025-09-08 22:15:00+00:00,2025-09-09 00:20:00+00:00,112392.53,112571.847795,111896.0,111896.0,tp,ssl
short,2025-09-09 08:35:00+00:00,2025-09-09 08:50:00+00:00,113071.51,113349.936645,112900.0,112900.0,tp,ssl
long,2025-09-11 03:10:00+00:00,2025-09-11 03:15:00+00:00,113944.7,113612.98509000002,113953.99,113953.99,tp,bsl
short,2025-09-11 11:05:00+00:00,2025-09-11 11:30:00+00:00,113999.1,114257.09999999999,113891.45,113891.45,tp,ssl
long,2025-09-11 16:00:00+00:00,2025-09-11 22:20:00+00:00,114343.94,113373.285,114699.25,114699.25,tp,bsl
short,2025-09-13 07:35:00+00:00,2025-09-13 08:30:00+00:00,115822.99,115903.38273,115675.91,115903.38273,sl,ssl
short,2025-09-13 14:55:00+00:00,2025-09-13 16:15:00+00:00,115797.68,116118.03,115603.98,115603.98,tp,ssl
long,2025-09-14 00:55:00+00:00,2025-09-14 01:20:00+00:00,115935.6,115751.99505,116000.0,115751.99505,sl,bsl
long,2025-09-14 07:05:00+00:00,2025-09-14 08:35:00+00:00,115744.99,115391.86520500001,115936.0,115936.0,tp,bsl
long,2025-09-15 11:30:00+00:00,2025-09-15 11:35:00+00:00,115051.73,114663.32965500001,115076.04,115076.04,tp,bsl
short,2025-09-15 17:20:00+00:00,2025-09-15 18:00:00+00:00,114695.98,115156.5495,114600.0,115156.5495,sl,ssl
long,2025-09-15 19:35:00+00:00,2025-09-15 19:40:00+00:00,115465.65,114542.70000000001,115522.9,115522.9,tp,bsl
short,2025-09-16 01:35:00+00:00,2025-09-16 04:15:00+00:00,115166.0,115533.738,114945.01,114945.01,tp,ssl
long,2025-09-18 02:35:00+00:00,2025-09-18 02:50:00+00:00,116578.4,116034.71362,116708.11,116708.11,tp,bsl
long,2025-09-18 08:50:00+00:00,2025-09-18 13:15:00+00:00,117249.51,116829.57599000001,117413.04,117413.04,tp,bsl
short,2025-09-22 00:10:00+00:00,2025-09-22 00:15:00+00:00,115275.66,115603.20271499999,115188.0,115188.0,tp,ssl
short,2025-09-22 01:25:00+00:00,2025-09-22 01:55:00+00:00,114649.9,115603.20271499999,114288.69,114288.69,tp,ssl
short,2025-09-22 23:50:00+00:00,2025-09-23 00:00:00+00:00,112628.08,113026.485,112592.43,112592.43,tp,ssl
short,2025-09-24 19:10:00+00:00,2025-09-24 19:25:00+00:00,113602.08,113996.96999999999,113512.53,113512.53,tp,ssl
