side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source
short,2025-07-26 23:05:00+00:00,2025-07-26 23:30:00+00:00,117960.04,118415.64735,117892.79,117892.79,tp,ssl
long,2025-07-28 05:50:00+00:00,2025-07-28 07:05:00+00:00,119679.36,119009.33154,119800.0,119009.33154,sl,bsl
short,2025-07-28 19:25:00+00:00,2025-07-29 03:40:00+00:00,118092.85,118494.98660999999,117427.5,118494.98660999999,sl,ssl
short,2025-07-29 20:25:00+00:00,2025-07-29 20:40:00+00:00,117561.58,118117.99999999999,117105.26,117105.26,tp,ssl
long,2025-07-30 08:25:00+00:00,2025-07-30 08:40:00+00:00,118160.0,117549.66267,118263.76,118263.76,tp,bsl
short,2025-07-30 11:10:00+00:00,2025-07-30 11:15:00+00:00,118081.68,118600.29180999998,117928.13,117928.13,tp,ssl
short,2025-07-31 16:05:00+00:00,2025-07-31 16:35:00+00:00,118246.59,118820.80209999999,118127.49,118820.80209999999,sl,ssl
short,2025-08-01 06:20:00+00:00,2025-08-01 06:25:00+00:00,115385.69,116032.34642999998,115266.64,115266.64,tp,ssl
long,2025-08-02 08:15:00+00:00,2025-08-02 08:20:00+00:00,113994.27,113355.96057,114021.0,114021.0,tp,bsl
long,2025-08-02 20:50:00+00:00,2025-08-02 21:45:00+00:00,112547.11,111890.997,112945.62,112945.62,tp,bsl
short,2025-08-04 19:20:00+00:00,2025-08-04 19:25:00+00:00,114940.01,115835.71999999999,114887.09,114887.09,tp,ssl
long,2025-08-04 22:50:00+00:00,2025-08-05 03:05:00+00:00,115293.74,114501.71367,115720.0,114501.71367,sl,bsl
long,2025-08-07 14:35:00+00:00,2025-08-07 15:40:00+00:00,116630.23,115919.80416,116696.42,116696.42,tp,bsl
long,2025-08-07 16:20:00+00:00,2025-08-07 16:45:00+00:00,116709.06,116088.11568,116791.11,116088.11568,sl,bsl
short,2025-08-08 09:20:00+00:00,2025-08-08 10:40:00+00:00,116505.52,117090.27329999999,116449.51,116449.51,tp,ssl
long,2025-08-10 18:50:00+00:00,2025-08-10 19:40:00+00:00,118581.49,118189.71198000001,118693.02,118693.02,tp,bsl
long,2025-08-12 17:45:00+00:00,2025-08-12 18:15:00+00:00,119471.98,118513.05831000001,119857.04,119857.04,tp,bsl
short,2025-08-13 07:35:00+00:00,2025-08-13 08:40:00+00:00,119315.17,119940.00017999997,119135.37,119940.00017999997,sl,ssl
long,2025-08-13 13:45:00+00:00,2025-08-14 00:15:00+00:00,121056.21,119652.10812,123864.41376000001,123864.41376000001,tp,rr
long,2025-08-15 12:05:00+00:00,2025-08-15 12:10:00+00:00,119072.18,118753.128,119096.0,119096.0,tp,bsl
short,2025-08-15 19:20:00+00:00,2025-08-15 19:40:00+00:00,117148.11,118000.23234999999,117008.0,117008.0,tp,ssl
long,2025-08-16 13:50:00+00:00,2025-08-16 15:00:00+00:00,117683.15,117210.30237,117789.33,117789.33,tp,bsl
