side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source
short,2025-07-26 15:10:00+00:00,2025-07-26 15:15:00+00:00,117919.28,118243.644,117855.15,117855.15,tp,ssl
short,2025-07-26 23:05:00+00:00,2025-07-26 23:30:00+00:00,117960.04,118321.00947,117892.79,117892.79,tp,ssl
short,2025-07-28 00:30:00+00:00,2025-07-28 00:40:00+00:00,119565.99,119790.60333,119340.0,119340.0,tp,ssl
long,2025-07-28 05:50:00+00:00,2025-07-28 07:05:00+00:00,119679.36,119104.63430800001,119800.0,119104.63430800001,sl,bsl
short,2025-07-28 19:25:00+00:00,2025-07-29 00:15:00+00:00,118092.85,118400.285322,117427.5,118400.285322,sl,ssl
long,2025-07-29 00:15:00+00:00,2025-07-29 02:15:00+00:00,118285.72,117476.589982,118500.0,117476.589982,sl,bsl
long,2025-07-29 09:20:00+00:00,2025-07-29 10:00:00+00:00,118948.01,118727.119826,118985.0,118727.119826,sl,bsl
short,2025-07-29 18:50:00+00:00,2025-07-29 19:25:00+00:00,117622.9,118080.66141,117482.4,117482.4,tp,ssl
short,2025-07-29 20:25:00+00:00,2025-07-29 20:40:00+00:00,117561.58,118023.59999999999,117105.26,117105.26,tp,ssl
long,2025-07-30 08:25:00+00:00,2025-07-30 08:40:00+00:00,118160.0,117643.79653400001,118263.76,118263.76,tp,bsl
short,2025-07-30 11:10:00+00:00,2025-07-30 11:15:00+00:00,118081.68,118505.506362,117928.13,117928.13,tp,ssl
short,2025-07-31 16:05:00+00:00,2025-07-31 16:30:00+00:00,118246.59,118725.84042000001,118127.49,118725.84042000001,sl,ssl
short,2025-08-01 06:20:00+00:00,2025-08-01 06:25:00+00:00,115385.69,115939.61328599999,115266.64,115266.64,tp,ssl
long,2025-08-02 08:15:00+00:00,2025-08-02 08:20:00+00:00,113994.27,113446.736114,114021.0,114021.0,tp,bsl
long,2025-08-02 20:50:00+00:00,2025-08-02 21:45:00+00:00,112547.11,111980.5994,112945.62,112945.62,tp,bsl
short,2025-08-03 22:05:00+00:00,2025-08-03 22:15:00+00:00,114226.19,114822.929994,114172.8,114172.8,tp,ssl
long,2025-08-04 03:20:00+00:00,2025-08-04 04:40:00+00:00,114714.28,114395.79626399999,114799.0,114395.79626399999,sl,bsl
short,2025-08-04 19:20:00+00:00,2025-08-04 19:25:00+00:00,114940.01,115743.144,114887.09,114887.09,tp,ssl
long,2025-08-04 22:10:00+00:00,2025-08-04 22:15:00+00:00,115233.16,114593.406734,115258.62,115258.62,tp,bsl
short,2025-08-05 07:25:00+00:00,2025-08-05 07:30:00+00:00,114213.73,114510.14745,114105.71,114105.71,tp,ssl
short,2025-08-06 11:05:00+00:00,2025-08-06 11:30:00+00:00,114007.86,114391.183662,113899.2,114391.183662,sl,ssl
long,2025-08-07 06:45:00+00:00,2025-08-07 07:20:00+00:00,114756.29,114236.1482,114859.0,114859.0,tp,bsl
long,2025-08-07 14:35:00+00:00,2025-08-07 15:40:00+00:00,116630.23,116012.632832,116696.42,116696.42,tp,bsl
long,2025-08-07 16:20:00+00:00,2025-08-07 16:40:00+00:00,116709.06,116181.07913600001,116791.11,116181.07913600001,sl,bsl
short,2025-08-08 09:20:00+00:00,2025-08-08 10:40:00+00:00,116505.52,116996.69466,116449.51,116449.51,tp,ssl
long,2025-08-10 10:25:00+00:00,2025-08-10 11:40:00+00:00,118185.69,117442.846732,118441.48,118441.48,tp,bsl
long,2025-08-10 18:50:00+00:00,2025-08-10 19:40:00+00:00,118581.49,118284.35839600001,118693.02,118693.02,tp,bsl
long,2025-08-12 17:45:00+00:00,2025-08-12 18:15:00+00:00,119471.98,118607.96366200001,119857.04,119857.04,tp,bsl
short,2025-08-13 07:35:00+00:00,2025-08-13 08:10:00+00:00,119315.17,119844.14403599998,119135.37,119844.14403599998,sl,ssl
long,2025-08-13 13:45:00+00:00,2025-08-14 00:05:00+00:00,121056.21,119747.92562400001,123672.778752,123672.778752,tp,rr
long,2025-08-14 20:20:00+00:00,2025-08-15 01:40:00+00:00,118038.7,117156.564,118535.0,118535.0,tp,bsl
long,2025-08-15 07:50:00+00:00,2025-08-15 09:55:00+00:00,118881.61,118605.854084,119216.82,118605.854084,sl,bsl
long,2025-08-15 12:05:00+00:00,2025-08-15 12:10:00+00:00,119072.18,118848.2256,119096.0,119096.0,tp,bsl
short,2025-08-15 19:20:00+00:00,2025-08-15 19:40:00+00:00,117148.11,117905.92647,117008.0,117008.0,tp,ssl
long,2025-08-16 05:30:00+00:00,2025-08-16 06:35:00+00:00,117649.01,117366.082088,117884.0,117366.082088,sl,bsl
long,2025-08-16 13:50:00+00:00,2025-08-16 15:00:00+00:00,117683.15,117304.164474,117789.33,117789.33,tp,bsl
short,2025-08-16 15:55:00+00:00,2025-08-16 20:00:00+00:00,117676.7,117848.565,117621.1,117621.1,tp,ssl
short,2025-08-17 01:40:00+00:00,2025-08-17 02:55:00+00:00,117387.81,117575.5104,117172.21,117575.5104,sl,ssl
short,2025-08-17 07:25:00+00:00,2025-08-17 08:40:00+00:00,117956.78,118141.62359999999,117843.74,118141.62359999999,sl,ssl
