side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source,sl_source,risk_pct
long,2025-07-27 11:00:00+00:00,2025-07-27 16:30:00+00:00,118222.04,117801.855592,119482.59322399995,119482.59322399995,tp,rr,failed_liq,0.3554196899325933
long,2025-07-31 11:00:00+00:00,2025-07-31 13:15:00+00:00,118560.0,118263.918,119701.07,118263.918,sl,bsl,failed_liq,0.2497317813765139
short,2025-08-02 11:50:00+00:00,2025-08-02 16:10:00+00:00,113747.52,114086.23950400001,112722.58,112722.58,tp,ssl,failed_liq,0.29778188043133413
long,2025-08-04 11:55:00+00:00,2025-08-04 13:30:00+00:00,114493.09,114125.681382,115695.52,114125.681382,sl,bsl,failed_liq,0.3209002552031754
long,2025-08-09 07:05:00+00:00,2025-08-09 10:15:00+00:00,116669.38,116275.796124,117850.13162800002,117850.13162800002,tp,rr,failed_liq,0.33734976220839114
short,2025-08-24 12:00:00+00:00,2025-08-24 19:35:00+00:00,114712.99,115083.932598,111932.28,111932.28,tp,ssl,failed_liq,0.3233658175939744
short,2025-08-27 06:50:00+00:00,2025-08-27 14:30:00+00:00,111097.15,112393.21943,107208.94170999998,112393.21943,sl,rr,failed_liq,1.166609071429828
short,2025-09-23 13:40:00+00:00,2025-09-23 21:40:00+00:00,112796.0,113304.0592,111271.82239999999,112202.24,time,rr,failed_liq,0.4504230646476855
short,2025-09-26 13:05:00+00:00,2025-09-26 13:50:00+00:00,109265.76,109712.83315199999,107924.540544,109712.83315199999,sl,rr,failed_liq,0.40916125234473927
long,2025-10-01 06:40:00+00:00,2025-10-01 08:45:00+00:00,114512.88,114073.67742400001,115830.487728,115830.487728,tp,rr,failed_liq,0.3835398917571508
long,2025-10-02 11:15:00+00:00,2025-10-02 15:50:00+00:00,118647.31,118255.580538,119822.498386,119822.498386,tp,rr,failed_liq,0.33016295270411355
short,2025-10-04 11:10:00+00:00,2025-10-04 19:10:00+00:00,122032.28,122986.036456,118516.39,121800.98,time,ssl,failed_liq,0.7815607935867483
short,2025-10-10 08:35:00+00:00,2025-10-10 13:00:00+00:00,121266.48,121778.59329599999,119651.47,121778.59329599999,sl,ssl,failed_liq,0.422304082711064
short,2025-10-22 07:00:00+00:00,2025-10-22 13:55:00+00:00,107941.28,108699.79825600001,104533.21,108699.79825600001,sl,ssl,failed_liq,0.7027137866069499
short,2025-10-28 07:30:00+00:00,2025-10-28 09:00:00+00:00,114126.41,114570.025282,112189.33,114570.025282,sl,ssl,failed_liq,0.38870519277702575
long,2025-10-29 06:50:00+00:00,2025-10-29 14:50:00+00:00,113339.3,112077.33214,117125.20358000002,112472.01,time,rr,failed_liq,1.1134424334718886
short,2025-11-01 13:35:00+00:00,2025-11-01 15:05:00+00:00,109927.78,110292.885556,108635.0,110292.885556,sl,ssl,failed_liq,0.33213220170551516
long,2025-11-09 12:00:00+00:00,2025-11-09 18:55:00+00:00,102152.25,101379.56955,104534.74,104534.74,tp,bsl,failed_liq,0.7564008134916262
short,2025-11-22 12:00:00+00:00,2025-11-22 16:40:00+00:00,83999.68,84816.33993599999,80600.0,84816.33993599999,sl,ssl,failed_liq,0.9722179132110937
long,2025-11-28 12:00:00+00:00,2025-11-28 17:00:00+00:00,91501.1,90849.12977999999,93457.01066000006,90849.12977999999,sl,rr,failed_liq,0.7125271936621717
short,2025-11-29 07:00:00+00:00,2025-11-29 15:00:00+00:00,90652.93,91138.120586,87499.81,90644.67,time,ssl,failed_liq,0.5352177651621537
short,2025-12-01 12:00:00+00:00,2025-12-01 20:00:00+00:00,86142.42,86955.238484,83703.96454799999,85464.21,time,rr,failed_liq,0.9435751677280521
short,2025-12-06 12:40:00+00:00,2025-12-06 13:40:00+00:00,89599.22,89782.109844,89030.67,89782.109844,sl,ssl,failed_liq,0.20411990640097627
long,2025-12-09 12:00:00+00:00,2025-12-09 16:10:00+00:00,90450.73,89481.909854,93357.19043799999,93357.19043799999,tp,rr,failed_liq,1.071102627916876
long,2025-12-20 07:50:00+00:00,2025-12-20 13:15:00+00:00,88231.6,88105.42368,88882.55,88105.42368,sl,bsl,failed_liq,0.14300581651018304
long,2025-12-25 07:25:00+00:00,2025-12-25 08:15:00+00:00,87809.95,87643.60801,88372.35,87643.60801,sl,bsl,failed_liq,0.1894341017162643
short,2026-01-10 09:30:00+00:00,2026-01-10 10:40:00+00:00,90630.09,90800.35601799999,90113.87,90800.35601799999,sl,ssl,failed_liq,0.18786919222963896
long,2026-01-14 09:45:00+00:00,2026-01-14 14:45:00+00:00,95044.35,94540.27113,96556.58661000004,96556.58661000004,tp,rr,failed_liq,0.530361741650095
short,2026-01-19 13:45:00+00:00,2026-01-19 16:50:00+00:00,93046.71,93335.89934199999,91910.2,93335.89934199999,sl,ssl,failed_liq,0.31080017982364266
short,2026-01-22 08:10:00+00:00,2026-01-22 16:10:00+00:00,89770.01,90377.944002,87263.53,88843.79,time,ssl,failed_liq,0.6772128041425072
long,2026-01-28 07:40:00+00:00,2026-01-28 15:40:00+00:00,89250.99,88822.149802,91224.99,89500.01,time,bsl,failed_liq,0.48048788926599617
short,2026-01-29 12:00:00+00:00,2026-01-29 15:10:00+00:00,87924.81,88517.584962,86074.72,86074.72,tp,ssl,failed_liq,0.6741839555865926
short,2026-02-01 13:50:00+00:00,2026-02-01 21:50:00+00:00,78359.6,79236.39192,75719.9,76606.73,time,ssl,failed_liq,1.1189336341686131
short,2026-02-17 07:45:00+00:00,2026-02-17 15:45:00+00:00,68441.84,69255.188368,65872.46,67179.87,time,ssl,failed_liq,1.188378874676669
long,2026-02-21 12:35:00+00:00,2026-02-21 20:35:00+00:00,68026.57,67735.984686,69241.5,68431.39,time,bsl,failed_liq,0.4271644358961665
long,2026-02-27 07:10:00+00:00,2026-02-27 10:10:00+00:00,67653.86,66871.469228,70001.032316,66871.469228,sl,rr,failed_liq,1.156461393333653
long,2026-03-05 14:10:00+00:00,2026-03-05 15:10:00+00:00,72613.91,71742.647218,75227.69834600002,71742.647218,sl,rr,failed_liq,1.1998565867063282
short,2026-03-18 11:00:00+00:00,2026-03-18 14:55:00+00:00,73828.02,74687.105604,71240.68,71240.68,tp,ssl,failed_liq,1.1636308328463807
long,2026-03-25 12:35:00+00:00,2026-03-25 15:10:00+00:00,71395.42,70785.720916,73224.51725199998,70785.720916,sl,rr,failed_liq,0.8539750645069286
long,2026-03-29 06:00:00+00:00,2026-03-29 14:00:00+00:00,66852.41,66268.029518,68955.53,66502.58,time,bsl,failed_liq,0.8741352510702423
short,2026-04-05 11:25:00+00:00,2026-04-05 15:25:00+00:00,67010.16,67201.912032,66416.68,67201.912032,sl,ssl,failed_liq,0.28615366983154406
short,2026-04-11 06:00:00+00:00,2026-04-11 14:00:00+00:00,72685.25,73109.42705,70522.77,72666.71,time,ssl,failed_liq,0.5835806439408249
short,2026-04-16 07:50:00+00:00,2026-04-16 15:50:00+00:00,74648.4,75439.92968,72053.78,74622.36,time,ssl,failed_liq,1.0603437983935449
short,2026-04-19 11:20:00+00:00,2026-04-19 13:15:00+00:00,75400.45,75797.71009000001,73912.23,75797.71009000001,sl,ssl,failed_liq,0.526867001456902
short,2026-04-28 07:00:00+00:00,2026-04-28 15:00:00+00:00,76672.88,77169.334576,75183.51627200004,76026.87,time,rr,failed_liq,0.6474969715497698
short,2026-05-13 07:35:00+00:00,2026-05-13 09:00:00+00:00,80910.18,81316.172036,79692.20389199996,81316.172036,sl,rr,failed_liq,0.501781155350304
short,2026-05-30 07:00:00+00:00,2026-05-30 13:20:00+00:00,73536.18,73811.137236,72512.49,73811.137236,sl,ssl,failed_liq,0.37390742352948175
long,2026-06-12 13:15:00+00:00,2026-06-12 21:15:00+00:00,63503.04,62817.109392,65560.83182400001,63602.0,time,rr,failed_liq,1.0801539705815697
short,2026-06-14 13:15:00+00:00,2026-06-14 21:15:00+00:00,64328.01,64676.865602,63045.29,64676.865602,sl,ssl,failed_liq,0.5423074676179102
long,2026-06-20 07:10:00+00:00,2026-06-20 13:25:00+00:00,63661.84,63307.407632,64776.66,63307.407632,sl,bsl,failed_liq,0.556742261926445
long,2026-07-04 13:55:00+00:00,2026-07-04 17:30:00+00:00,62588.84,62403.352232000005,63145.30330399997,63145.30330399997,tp,rr,failed_liq,0.29635917201851286
long,2026-07-12 13:00:00+00:00,2026-07-12 21:00:00+00:00,64047.66,63751.190468,64937.06859600001,64228.89,time,rr,failed_liq,0.46288893614536863
long,2026-07-16 06:00:00+00:00,2026-07-16 07:35:00+00:00,64902.0,64379.0296,66470.9112,64379.0296,sl,rr,failed_liq,0.8057847215802262
long,2026-07-18 06:40:00+00:00,2026-07-18 09:25:00+00:00,63974.01,63913.595198,64216.61,63913.595198,sl,bsl,failed_liq,0.09443647818856334
