side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source,planned_rr
long,2025-07-27 10:15:00+00:00,2025-07-27 16:20:00+00:00,118158.62,117766.58725000001,119334.71824999995,119334.71824999995,tp,rr,3.0
long,2025-07-31 09:25:00+00:00,2025-07-31 13:15:00+00:00,118533.46,118228.48618500002,119701.07,118228.48618500002,sl,bsl,3.828558199332745
short,2025-08-02 11:50:00+00:00,2025-08-02 17:50:00+00:00,113747.52,114120.521745,112628.514765,112628.514765,tp,rr,3.0
long,2025-08-04 11:55:00+00:00,2025-08-04 19:55:00+00:00,114493.09,114091.50571000001,115831.28,114777.62,time,bsl,3.3322767680978123
long,2025-08-09 07:05:00+00:00,2025-08-09 15:05:00+00:00,116669.38,116240.980435,117954.578695,116969.2,time,rr,3.0
short,2025-08-11 11:25:00+00:00,2025-08-11 19:25:00+00:00,120507.11,122396.32758,114839.45726000001,119481.48,time,rr,3.0
long,2025-08-16 15:45:00+00:00,2025-08-16 23:45:00+00:00,117696.99,117085.40801,121183.06,117427.3,time,bsl,5.70008609965764
long,2025-08-17 15:55:00+00:00,2025-08-17 16:15:00+00:00,118246.16,118000.09044,119130.77,118000.09044,sl,bsl,3.5949590839272756
short,2025-08-24 12:00:00+00:00,2025-08-24 19:35:00+00:00,114712.99,115118.520495,111932.28,111932.28,tp,ssl,6.856968919193149
short,2025-08-27 07:00:00+00:00,2025-08-27 14:30:00+00:00,111027.97,112427.18549999999,106830.32350000003,112427.18549999999,sl,rr,3.0
short,2025-09-04 07:00:00+00:00,2025-09-04 15:00:00+00:00,110424.18,112236.09,104988.44999999998,109739.42,time,rr,3.0
long,2025-09-12 15:15:00+00:00,2025-09-12 19:50:00+00:00,115149.06,114683.61950500001,116545.38148499996,116545.38148499996,tp,rr,3.0
long,2025-09-18 10:15:00+00:00,2025-09-18 18:15:00+00:00,117291.0,116829.57599000001,118675.27202999996,117789.86,time,rr,3.0
short,2025-09-23 13:40:00+00:00,2025-09-23 21:40:00+00:00,112796.0,113338.14074999999,111169.57775000003,112202.24,time,rr,3.0
short,2025-09-26 13:05:00+00:00,2025-09-26 13:55:00+00:00,109265.76,109745.82548999999,107825.56353000001,109745.82548999999,sl,rr,3.0
long,2025-10-01 08:10:00+00:00,2025-10-01 08:45:00+00:00,114577.85,114039.53171000001,116192.80486999999,116192.80486999999,tp,rr,3.0
long,2025-10-02 11:15:00+00:00,2025-10-02 16:00:00+00:00,118647.31,118220.170345,119928.72896499997,119928.72896499997,tp,rr,3.0
short,2025-10-07 09:40:00+00:00,2025-10-07 12:45:00+00:00,124096.42,124716.79723499999,122136.0,124716.79723499999,sl,ssl,3.160045032922624
short,2025-10-10 08:35:00+00:00,2025-10-10 13:00:00+00:00,121266.48,121815.21716999999,119620.26849000002,121815.21716999999,sl,rr,3.0
long,2025-10-16 13:30:00+00:00,2025-10-16 15:40:00+00:00,111364.0,109580.332425,116715.002725,109580.332425,sl,rr,3.0
long,2025-10-20 07:00:00+00:00,2025-10-20 15:00:00+00:00,111260.16,107348.81874000002,122994.18377999996,111287.1,time,rr,3.0
short,2025-10-21 07:00:00+00:00,2025-10-21 14:55:00+00:00,107829.91,111327.636,97336.73200000002,111327.636,sl,rr,3.0
short,2025-10-22 07:00:00+00:00,2025-10-22 13:55:00+00:00,107941.28,108732.549105,105567.472685,108732.549105,sl,rr,3.0
short,2025-10-28 07:30:00+00:00,2025-10-28 09:00:00+00:00,114126.41,114604.4736,112189.33,114604.4736,sl,ssl,4.051929492226612
long,2025-10-29 07:20:00+00:00,2025-10-29 15:20:00+00:00,113423.82,112043.95000000001,117563.43,112397.67,time,rr,3.0
short,2025-11-01 13:35:00+00:00,2025-11-01 15:05:00+00:00,109927.78,110326.03544999998,108635.0,110326.03544999998,sl,ssl,3.246107492063338
long,2025-11-09 11:00:00+00:00,2025-11-09 18:45:00+00:00,102068.28,101349.3,104225.21999999999,104225.21999999999,tp,rr,3.0
short,2025-11-22 11:55:00+00:00,2025-11-22 16:45:00+00:00,84098.94,84841.93976999998,80600.0,84841.93976999998,sl,ssl,4.709207379700931
long,2025-11-28 11:55:00+00:00,2025-11-28 17:15:00+00:00,91437.64,90821.996285,93284.571145,90821.996285,sl,rr,3.0
short,2025-11-29 07:00:00+00:00,2025-11-29 15:00:00+00:00,90652.93,91165.549995,87499.81,90644.67,time,ssl,6.150989096708937
short,2025-12-01 11:15:00+00:00,2025-12-01 12:45:00+00:00,86455.28,86981.47900499999,84876.68298500004,84876.68298500004,tp,rr,3.0
