side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source,sl_source,risk_pct
short,2025-08-02 13:30:00+00:00,2025-08-02 21:30:00+00:00,113447.78,113936.939556,111980.301332,112743.2,time,rr,nearest_swing,0.43117596131012764
long,2025-08-03 18:10:00+00:00,2025-08-04 02:10:00+00:00,114119.99,113931.146002,115096.93,114461.92,time,bsl,nearest_swing,0.1654784564912871
short,2025-08-11 14:10:00+00:00,2025-08-11 14:30:00+00:00,120067.19,120352.94343799999,118972.59,120352.94343799999,sl,ssl,nearest_swing,0.23799460785247425
long,2025-08-16 15:45:00+00:00,2025-08-16 23:45:00+00:00,117696.99,117120.440602,121183.06,117427.3,time,bsl,failed_liq,0.4898590847565454
long,2025-09-02 18:50:00+00:00,2025-09-02 19:30:00+00:00,110807.09,110447.538582,112638.64,110447.538582,sl,bsl,nearest_swing,0.32448412642187674
long,2025-09-12 15:15:00+00:00,2025-09-12 18:30:00+00:00,115149.06,114842.27018800001,116331.81,116331.81,tp,bsl,nearest_swing,0.2664284120078689
short,2025-09-26 13:30:00+00:00,2025-09-26 13:40:00+00:00,109230.73,109600.846146,108120.381562,109600.846146,sl,rr,nearest_swing,0.3388388469069101
long,2025-10-01 13:35:00+00:00,2025-10-01 14:00:00+00:00,116549.65,116340.07007,117178.38978999997,117178.38978999997,tp,rr,nearest_swing,0.1798202997606536
long,2025-10-16 13:30:00+00:00,2025-10-16 13:50:00+00:00,111364.0,110824.2172,113520.88,110824.2172,sl,bsl,local_swing,0.48470133975072816
short,2025-11-01 13:35:00+00:00,2025-11-01 15:05:00+00:00,109927.78,110221.985556,108974.76,110221.985556,sl,ssl,nearest_swing,0.26763531111062266
short,2025-11-12 20:35:00+00:00,2025-11-12 21:10:00+00:00,101671.1,101858.33422,100813.59,101858.33422,sl,ssl,nearest_swing,0.18415677611435152
short,2025-12-01 14:30:00+00:00,2025-12-01 15:30:00+00:00,86325.88,86717.265176,84756.0,84756.0,tp,ssl,nearest_swing,0.4533810440159962
long,2026-01-09 18:45:00+00:00,2026-01-09 19:15:00+00:00,90917.71,90386.966458,92961.53,90386.966458,sl,bsl,ob,0.5837625496726777
long,2026-03-25 13:45:00+00:00,2026-03-25 15:05:00+00:00,71662.65,71091.09747,73377.30759,71091.09747,sl,rr,nearest_swing,0.7975598585874244
long,2026-03-31 18:45:00+00:00,2026-04-01 02:45:00+00:00,67862.35,67390.23753,69278.68741000003,67629.27,time,rr,nearest_swing,0.6956913074775737
long,2026-05-09 14:40:00+00:00,2026-05-09 22:40:00+00:00,80336.16,80150.192768,81180.0,80817.05,time,bsl,failed_liq,0.23148633442276798
long,2026-05-20 18:35:00+00:00,2026-05-21 02:35:00+00:00,77541.57,77002.871686,79157.66494200003,78035.02,time,rr,nearest_swing,0.694721958815134
long,2026-05-25 19:20:00+00:00,2026-05-25 20:40:00+00:00,77500.0,77271.0,78187.0,77271.0,sl,rr,nearest_swing,0.2954838709677419
short,2026-06-28 14:50:00+00:00,2026-06-28 22:50:00+00:00,60026.2,60262.00524,58500.1,59016.0,time,ssl,nearest_swing,0.39283719442510356
long,2026-07-04 13:55:00+00:00,2026-07-04 15:10:00+00:00,62588.84,62443.722232,63024.193303999986,63024.193303999986,tp,rr,nearest_swing,0.23185885534864753
long,2026-07-09 14:55:00+00:00,2026-07-09 16:25:00+00:00,63016.0,62654.056800000006,64232.0,62654.056800000006,sl,bsl,nearest_swing,0.5743671448520918
long,2026-07-12 14:30:00+00:00,2026-07-12 21:45:00+00:00,64052.87,63945.899425999996,64424.03,63945.899425999996,sl,bsl,local_swing,0.16700356127681135
