symbol,year,energy_type,qty,amount_mrial,avg_rate,n
ارفع,1401,آب,144180.0,47638.0,247804.25,4
ارفع,1401,برق,250769137.0,2126713.0,2272712.5,6
ارفع,1401,گاز طبیعی,99511143.0,2216744.0,18492.5,6
ارفع,1402,آب,709834.0,300144.0,423954.2,10
ارفع,1402,برق,738874.0,4871505.0,6624313.6,10
ارفع,1402,گاز طبیعی,272767666.0,9798585.0,36427.8,10
ارفع,1403,آب,1548049.0,1950574.0,1345077.1666666667,12
ارفع,1403,برق,747311.0,12167585.0,16530790.583333334,12
ارفع,1403,گاز طبیعی,315414294.0,13486477.0,45572.083333333336,12
ارفع,1404,آب,2187419.0,8156854.0,3831557.5,12
ارفع,1404,برق,911938.0,35039403.0,40436778.083333336,12
ارفع,1404,گاز طبیعی,32452390.0,3147686.0,96994.0,1
ارفع,1405,آب,584331.0,3683640.0,6242947.333333333,3
ارفع,1405,برق,246861.0,12110484.0,48040765.666666664,3
فسبزوار,1401,گاز طبیعی,26243489.0,616304.0,22930.166666666668,6
فسبزوار,1402,گاز طبیعی,113653763.0,4715325.0,42168.333333333336,12
فسبزوار,1403,گاز طبیعی,205670418.0,9612345.0,48142.72727272727,11
فسبزوار,1404,آب,379011.0,306556.0,838021.5,6
فسبزوار,1404,برق,91236.0,3920548.0,41618570.0,11
فسبزوار,1404,گاز طبیعی,24814232.0,2283086.0,92007.0,1
فسبزوار,1405,آب,199504.0,147243.0,681209.0,3
فسبزوار,1405,برق,24924.0,1904910.0,73457028.66666667,3
فصبا,1400,برق,33087.0,149492.0,4515054.333333333,3
فصبا,1401,برق,142860.0,825880.0,5707534.333333333,12
فصبا,1402,برق,12347439.0,1053961.0,6301597.25,12
فصبا,1403,برق,115289.0,1849438.0,16302411.5,10
فصبا,1404,برق,173599.0,4042397.0,23578744.833333332,12
فصبا,1405,برق,37605.0,1225979.0,33166450.0,3
کاوه,1401,برق,692751.0,4500263.0,6605304.5,6
کاوه,1402,برق,1174343.0,8357558.0,7206439.5,10
کاوه,1403,برق,1221679.0,21130945.0,18236975.833333332,12
کاوه,1404,آب,5445926.0,2846644.0,531172.4166666666,12
کاوه,1404,برق,97126462.0,52205814.0,33857506.583333336,12
کاوه,1405,آب,1477173.0,1024927.0,693843.6666666666,3
کاوه,1405,برق,358747.0,26645476.0,66989565.666666664,3
کنور,1401,برق,34309.0,149120.0,4341576.0,6
کنور,1402,آب,822495.0,1511819.0,1817698.0,12
کنور,1402,برق,78989.0,432423.0,5296673.666666667,12
کنور,1403,آب,676168.0,971156.0,1436000.5454545454,11
کنور,1403,برق,82187.0,1418572.0,17467881.454545453,11
