symbol,company,group,period_end,title,publish_dt,tracing_no,is_revision,excel_url,energy_type,unit,month_qty,month_rate_rial,month_amount_mrial,ytd_qty,ytd_rate_rial,ytd_amount_mrial,month,year,gregorian
ارفع,آهن و فولاد ارفع,steel,1401/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۱:۴۸,976690,True,https://excel.codal.ir/service/Excel/GetAll/kE3nDrqSjN7v7spGJH10Cg%3d%3d/0,برق,مگاوات ساعت,80000000.0,6354.0,508292.0,492101009.0,5797.0,2852854.0,1401-07,1401,2022-10-22
ارفع,آهن و فولاد ارفع,steel,1401/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۱:۴۸,976690,True,https://excel.codal.ir/service/Excel/GetAll/kE3nDrqSjN7v7spGJH10Cg%3d%3d/0,گاز طبیعی,مترمکعب,29381763.0,22917.0,673330.0,203126619.0,23216.0,4715823.0,1401-07,1401,2022-10-22
ارفع,آهن و فولاد ارفع,steel,1401/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۴:۴۲,976689,True,https://excel.codal.ir/service/Excel/GetAll/JKwxafLuNtusmRlMAEFPdA%3d%3d/0,برق,مگاوات ساعت,86000000.0,6696.0,575820.0,86496527.0,42454.0,3672150.0,1401-08,1401,2022-11-21
ارفع,آهن و فولاد ارفع,steel,1401/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۴:۴۲,976689,True,https://excel.codal.ir/service/Excel/GetAll/JKwxafLuNtusmRlMAEFPdA%3d%3d/0,گاز طبیعی,مترمکعب,30994644.0,22005.0,682050.0,234121263.0,23056.0,5397873.0,1401-08,1401,2022-11-21
ارفع,آهن و فولاد ارفع,steel,1401/09/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۵۰:۰۹,976688,True,https://excel.codal.ir/service/Excel/GetAll/0GdOOObOOOQenOOObOOOH51hp9M4WPUWaQ%3d%3d/0,آب,مترمکعب,64520.0,330409.0,21318.0,630460.0,358943.0,226299.0,1401-09,1401,2022-12-21
ارفع,آهن و فولاد ارفع,steel,1401/09/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۵۰:۰۹,976688,True,https://excel.codal.ir/service/Excel/GetAll/0GdOOObOOOQenOOObOOOH51hp9M4WPUWaQ%3d%3d/0,برق,مگاوات ساعت,84687894.0,6084.0,515241.0,85269568.0,47547.0,4054334.0,1401-09,1401,2022-12-21
ارفع,آهن و فولاد ارفع,steel,1401/09/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۵۰:۰۹,976688,True,https://excel.codal.ir/service/Excel/GetAll/0GdOOObOOOQenOOObOOOH51hp9M4WPUWaQ%3d%3d/0,گاز طبیعی,مترمکعب,21059776.0,22008.0,463488.0,255181039.0,23212.0,5923369.0,1401-09,1401,2022-12-21
ارفع,آهن و فولاد ارفع,steel,1401/10/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۲۵:۱۰,987322,False,https://excel.codal.ir/service/Excel/GetAll/zdrxVUZj5UrGJFwQQB8fNw%3d%3d/0,آب,مترمکعب,39660.0,330408.0,13104.0,670120.0,357254.0,239403.0,1401-10,1401,2023-01-20
ارفع,آهن و فولاد ارفع,steel,1401/10/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۲۵:۱۰,987322,False,https://excel.codal.ir/service/Excel/GetAll/zdrxVUZj5UrGJFwQQB8fNw%3d%3d/0,برق,مگاوات ساعت,55548.0,5944714.0,330217.0,714817.0,5944734.0,4249397.0,1401-10,1401,2023-01-20
ارفع,آهن و فولاد ارفع,steel,1401/10/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,۱۴۰۱/۱۱/۰۵ ۱۲:۲۵:۱۰,987322,False,https://excel.codal.ir/service/Excel/GetAll/zdrxVUZj5UrGJFwQQB8fNw%3d%3d/0,گاز طبیعی,مترمکعب,8790800.0,22019.0,193569.0,263971839.0,23173.0,6116938.0,1401-10,1401,2023-01-20
ارفع,آهن و فولاد ارفع,steel,1401/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,۱۴۰۱/۱۲/۰۲ ۱۹:۴۶:۲۳,995523,False,https://excel.codal.ir/service/Excel/GetAll/PSv4QWz5610tqJl48EbVBQ%3d%3d/0,آب,مترمکعب,40000.0,330400.0,13216.0,710120.0,355741.0,252619.0,1401-11,1401,2023-02-19
ارفع,آهن و فولاد ارفع,steel,1401/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,۱۴۰۱/۱۲/۰۲ ۱۹:۴۶:۲۳,995523,False,https://excel.codal.ir/service/Excel/GetAll/PSv4QWz5610tqJl48EbVBQ%3d%3d/0,برق,مگاوات ساعت,25695.0,7672427.0,197143.0,743503.0,6140472.0,4565459.0,1401-11,1401,2023-02-19
ارفع,آهن و فولاد ارفع,steel,1401/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,۱۴۰۱/۱۲/۰۲ ۱۹:۴۶:۲۳,995523,False,https://excel.codal.ir/service/Excel/GetAll/PSv4QWz5610tqJl48EbVBQ%3d%3d/0,گاز طبیعی,مترمکعب,9284160.0,22006.0,204307.0,273255999.0,23133.0,6321244.0,1401-11,1401,2023-02-19
ارفع,آهن و فولاد ارفع,steel,1401/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,۱۴۰۲/۰۱/۰۶ ۱۷:۴۴:۱۷,1006847,False,https://excel.codal.ir/service/Excel/GetAll/vvoJ14ibnOOOObOOOhOvbTVBZfKw%3d%3d/0,آب,مترمکعب,0.0,0.0,0.0,710120.0,355741.0,252619.0,1401-12,1401,2023-03-20
ارفع,آهن و فولاد ارفع,steel,1401/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,۱۴۰۲/۰۱/۰۶ ۱۷:۴۴:۱۷,1006847,False,https://excel.codal.ir/service/Excel/GetAll/vvoJ14ibnOOOObOOOhOvbTVBZfKw%3d%3d/0,برق,مگاوات ساعت,0.0,0.0,0.0,743503.0,6140472.0,4565459.0,1401-12,1401,2023-03-20
ارفع,آهن و فولاد ارفع,steel,1401/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,۱۴۰۲/۰۱/۰۶ ۱۷:۴۴:۱۷,1006847,False,https://excel.codal.ir/service/Excel/GetAll/vvoJ14ibnOOOObOOOhOvbTVBZfKw%3d%3d/0,گاز طبیعی,مترمکعب,0.0,0.0,0.0,273255999.0,23133.0,6321244.0,1401-12,1401,2023-03-20
ارفع,آهن و فولاد ارفع,steel,1402/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,۱۴۰۲/۰۲/۰۹ ۱۲:۴۲:۳۰,1018306,False,https://excel.codal.ir/service/Excel/GetAll/Kn6cUhmOOObOOOUhno9eZV7LyBGw%3d%3d/0,آب,مترمکعب,72000.0,416667.0,30000.0,72000.0,416667.0,30000.0,1402-01,1402,2023-04-20
ارفع,آهن و فولاد ارفع,steel,1402/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,۱۴۰۲/۰۲/۰۹ ۱۲:۴۲:۳۰,1018306,False,https://excel.codal.ir/service/Excel/GetAll/Kn6cUhmOOObOOOUhno9eZV7LyBGw%3d%3d/0,برق,مگاوات ساعت,91861.0,7350007.0,675179.0,91861.0,7350007.0,675179.0,1402-01,1402,2023-04-20
ارفع,آهن و فولاد ارفع,steel,1402/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,۱۴۰۲/۰۲/۰۹ ۱۲:۴۲:۳۰,1018306,False,https://excel.codal.ir/service/Excel/GetAll/Kn6cUhmOOObOOOUhno9eZV7LyBGw%3d%3d/0,گاز طبیعی,مترمکعب,30973718.0,22005.0,681580.0,30973718.0,22005.0,681580.0,1402-01,1402,2023-04-20
ارفع,آهن و فولاد ارفع,steel,1402/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,۱۴۰۲/۰۳/۰۲ ۲۰:۰۷:۰۷,1030104,False,https://excel.codal.ir/service/Excel/GetAll/kpx0l8Z1nRwy3VI4iSgHAA%3d%3d/0,آب,مترمکعب,68669.0,330411.0,22689.0,138739.0,330412.0,45841.0,1402-02,1402,2023-05-21
ارفع,آهن و فولاد ارفع,steel,1402/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,۱۴۰۲/۰۳/۰۲ ۲۰:۰۷:۰۷,1030104,False,https://excel.codal.ir/service/Excel/GetAll/kpx0l8Z1nRwy3VI4iSgHAA%3d%3d/0,برق,مگاوات ساعت,87171.0,6739994.0,587532.0,175135.0,6740063.0,1180421.0,1402-02,1402,2023-05-21
ارفع,آهن و فولاد ارفع,steel,1402/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,۱۴۰۲/۰۳/۰۲ ۲۰:۰۷:۰۷,1030104,False,https://excel.codal.ir/service/Excel/GetAll/kpx0l8Z1nRwy3VI4iSgHAA%3d%3d/0,گاز طبیعی,مترمکعب,31766821.0,23041.0,731950.0,62739937.0,23029.0,1444861.0,1402-02,1402,2023-05-21
ارفع,آهن و فولاد ارفع,steel,1402/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۳:۵۴,1045546,False,https://excel.codal.ir/service/Excel/GetAll/Ie2GsPxZQQQaQQQMzahSBvBL7v4w%3d%3d/0,آب,مترمکعب,89220.0,330397.0,29478.0,227959.0,330406.0,75319.0,1402-03,1402,2023-06-21
ارفع,آهن و فولاد ارفع,steel,1402/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۳:۵۴,1045546,False,https://excel.codal.ir/service/Excel/GetAll/Ie2GsPxZQQQaQQQMzahSBvBL7v4w%3d%3d/0,برق,مگاوات ساعت,88013.0,6010010.0,528959.0,261640.0,6255542.0,1636700.0,1402-03,1402,2023-06-21
ارفع,آهن و فولاد ارفع,steel,1402/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,۱۴۰۲/۰۴/۰۵ ۱۸:۰۳:۵۴,1045546,False,https://excel.codal.ir/service/Excel/GetAll/Ie2GsPxZQQQaQQQMzahSBvBL7v4w%3d%3d/0,گاز طبیعی,مترمکعب,32000000.0,22006.0,704192.0,94739937.0,22684.0,2149053.0,1402-03,1402,2023-06-21
ارفع,آهن و فولاد ارفع,steel,1402/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,۱۴۰۲/۰۵/۰۴ ۱۴:۵۴:۳۶,1064207,False,https://excel.codal.ir/service/Excel/GetAll/8Uemp0eCXHG2GX9ULDkZ5A%3d%3d/0,آب,مترمکعب,60000.0,350000.0,21000.0,323039.0,345748.0,111690.0,1402-04,1402,2023-07-22
ارفع,آهن و فولاد ارفع,steel,1402/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,۱۴۰۲/۰۵/۰۴ ۱۴:۵۴:۳۶,1064207,False,https://excel.codal.ir/service/Excel/GetAll/8Uemp0eCXHG2GX9ULDkZ5A%3d%3d/0,برق,مگاوات ساعت,66547.0,5379972.0,358021.0,328534.0,5908475.0,1941135.0,1402-04,1402,2023-07-22
