symbol,year,company,group,period_end,months,consolidated,source_file,net_income_mrial,eps_rial,abs_ni,usd_irr_avg,net_income_usd_mn
ارفع,1400,آهن و فولاد ارفع,steel,1400/12/29,12,False,fin_1400-12-29_12m_sep.html,25959229.0,1683.0,25959229.0,263845.7243816254,98.38790854329962
ارفع,1401,آهن و فولاد ارفع,steel,1401/12/29,12,False,fin_1401-12-29_12m_sep.html,37401581.0,,37401581.0,349255.1621621622,107.08955815700763
ارفع,1402,آهن و فولاد ارفع,steel,1402/12/29,12,True,fin_1402-12-29_12m_cons.html,55292552.0,4608.0,55292552.0,516957.2332155477,106.95769097972078
ارفع,1403,آهن و فولاد ارفع,steel,1403/12/30,12,True,fin_1403-12-30_12m_cons.html,55290020.0,2601.0,55290020.0,687336.5416666666,80.44097272339357
ارفع,1404,آهن و فولاد ارفع,steel,1404/12/29,12,True,fin_1404-12-29_12m_cons.html,48981391.0,1527.0,48981391.0,1132359.0391459074,43.256060407258005
کاوه,1400,فولاد کاوه جنوب کیش,steel,1400/12/29,12,True,fin_1400-12-29_12m_cons.html,34428692.0,826.0,34428692.0,263845.7243816254,130.4879663321831
کاوه,1401,فولاد کاوه جنوب کیش,steel,1401/12/29,12,True,fin_1401-12-29_12m_cons.html,33777361.0,1055.0,33777361.0,349255.1621621622,96.71256049843832
کاوه,1403,فولاد کاوه جنوب کیش,steel,1403/12/30,12,True,fin_1403-12-30_12m_cons.html,65167514.0,662.0,65167514.0,687336.5416666666,94.81165346160788
کنور,1401,توسعه معدنی و صنعتی صبانور,iron_ore,1401/12/29,12,True,fin_1401-12-29_12m_cons.html,29385966.0,1464.0,29385966.0,349255.1621621622,84.1389596594018
کنور,1402,توسعه معدنی و صنعتی صبانور,iron_ore,1402/12/29,12,True,fin_1402-12-29_12m_cons.html,34812198.0,2641.0,34812198.0,516957.2332155477,67.34057628609462
کنور,1403,توسعه معدنی و صنعتی صبانور,iron_ore,1403/12/30,12,True,fin_1403-12-30_12m_cons.html,34812198.0,774.0,34812198.0,687336.5416666666,50.647966301321226
کنور,1404,توسعه معدنی و صنعتی صبانور,iron_ore,1404/12/29,12,True,fin_1404-12-29_12m_cons.html,50966693.0,821.0,50966693.0,1132359.0391459074,45.00930467993801
کچاد,1400,معدنی و صنعتی چادرملو,iron_ore,1400/12/29,12,True,fin_1400-12-29_12m_cons.html,272000484.0,2274.0,272000484.0,263845.7243816254,1030.9073025059886
کچاد,1401,معدنی و صنعتی چادرملو,iron_ore,1401/12/29,12,True,fin_1401-12-29_12m_cons.html,270196251.0,1237.0,270196251.0,349255.1621621622,773.63566891116
کچاد,1402,معدنی و صنعتی چادرملو,iron_ore,1402/12/29,12,True,fin_1402-12-29_12m_cons.html,262338190.0,1014.0,262338190.0,516957.2332155477,507.4659433009943
کچاد,1403,معدنی و صنعتی چادرملو,iron_ore,1403/12/30,12,True,fin_1403-12-30_12m_cons.html,258758595.0,532.0,258758595.0,687336.5416666666,376.4656457411056
کگل,1400,معدنی و صنعتی گل‌گهر,iron_ore,1400/12/29,12,True,fin_1400-12-29_12m_cons.html,279704509.0,1486.0,279704509.0,263845.7243816254,1060.1062786048278
کگل,1401,معدنی و صنعتی گل‌گهر,iron_ore,1401/12/29,12,True,fin_1401-12-29_12m_cons.html,244070827.0,660.0,244070827.0,349255.1621621622,698.8324109198873
کگل,1402,معدنی و صنعتی گل‌گهر,iron_ore,1402/12/29,12,True,fin_1402-12-29_12m_cons.html,290610287.0,580.0,290610287.0,516957.2332155477,562.1553744250034
کگل,1403,معدنی و صنعتی گل‌گهر,iron_ore,1403/12/30,12,False,fin_1403-12-30_12m_sep.html,102943249.0,268.0,102943249.0,687336.5416666666,149.77124415701988
کگل,1404,معدنی و صنعتی گل‌گهر,iron_ore,1404/12/29,12,False,fin_1404-12-29_12m_sep.html,152531.0,,152531.0,1132359.0391459074,0.13470197589895866
