symbol,year,product,month_production
ارفع,1400,آهن اسفنجی ( DRI ),708313.0
ارفع,1400,شمش فولادی,770435.0
ارفع,1401,آهن اسفنجی ( DRI ),980859.0
ارفع,1401,شمش فولادی,782182.0
ارفع,1401,شمش فولادی : تن,0.0
ارفع,1401,شمش فولادی :تن,0.0
ارفع,1402,آهن اسفنجی ( DRI ),917247.0
ارفع,1402,شمش فولادی,693643.0
ارفع,1402,شمش فولادی :تن,0.0
ارفع,1403,آهن اسفنجی ( DRI ),1020143.0
ارفع,1403,شمش فولادی,678572.0
ارفع,1404,آهن اسفنجی ( DRI ),1115714.0
ارفع,1404,شمش فولادی,881998.0
ارفع,1405,آهن اسفنجی ( DRI ),308504.0
ارفع,1405,شمش فولادی,264203.0
فسبزوار,1400,آهن اسفنجی,255842435.0
فسبزوار,1400,فاین گندله - نرمه (صادراتی),0.0
فسبزوار,1401,آهن اسفنجی,617033.0
فسبزوار,1401,فاین گندله - نرمه (صادراتی),0.0
فسبزوار,1402,آهن اسفنجی,825300.0
فسبزوار,1403,آهن اسفنجی,640957.0
فسبزوار,1404,آهن اسفنجی,824505.0
فسبزوار,1405,آهن اسفنجی,198848.0
فصبا,1400,بریکت آهن اسفنجی,170557.0
فصبا,1401,بریکت آهن اسفنجی,829381.0
فصبا,1402,بریکت آهن اسفنجی,1219865.0
فصبا,1403,بریکت آهن اسفنجی,912944.0
فصبا,1403,میکس بریکت و آهن اسفنجی,24580.0
فصبا,1404,بریکت آهن اسفنجی,1208547.0
فصبا,1404,میکس بریکت و آهن اسفنجی,0.0
فصبا,1405,بریکت آهن اسفنجی,273092.0
فصبا,1405,میکس بریکت و آهن اسفنجی,0.0
کاوه,1400,آهن اسفنجی,1766677.0
کاوه,1400,آهن اسفنجی داخلی,0.0
کاوه,1400,آهن اسفنجی صادراتی,0.0
کاوه,1400,آهن اسفنجی کارمزدی,0.0
کاوه,1400,شمش بیلت,1439185.0
کاوه,1400,شمش بیلت داخلی,0.0
کاوه,1400,شمش بیلت صادراتی,0.0
کاوه,1401,آهن اسفنجی,1732913.0
کاوه,1401,آهن اسفنجی داخلی,0.0
کاوه,1401,شمش بیلت,1541108.0
کاوه,1401,شمش بیلت داخلی,0.0
کاوه,1401,شمش بیلت صادراتی,0.0
کاوه,1402,آهن اسفنجی,1499608.0
کاوه,1402,آهن اسفنجی داخلی,0.0
کاوه,1402,شمش بیلت,1265439.0
کاوه,1402,شمش بیلت داخلی,0.0
کاوه,1402,شمش بیلت صادراتی,0.0
کاوه,1403,آهن اسفنجی,1500100.0
کاوه,1403,آهن اسفنجی صادراتی,0.0
کاوه,1403,شمش بیلت,1280164.0
کاوه,1403,شمش بیلت داخلی,0.0
کاوه,1403,شمش بیلت صادراتی,0.0
کاوه,1404,آهن اسفنجی,1708482.0
کاوه,1404,شمش بیلت,1520899.0
کاوه,1404,شمش بیلت داخلی,0.0
کاوه,1404,شمش بیلت صادراتی,0.0
کاوه,1405,آهن اسفنجی,428729.0
کاوه,1405,شمش بیلت,369072.0
کاوه,1405,شمش بیلت داخلی,0.0
کاوه,1405,شمش بیلت صادراتی,0.0
کنور,1400,سنگ آهن دانه بندی شده- خوراک کنسانتره,0.0
کنور,1400,کنسانتره,1220461.0
کنور,1400,کنسانتره خشک,132394.0
کنور,1400,گندله,385841.0
کنور,1400,گندله نیمه پخته,0.0
کنور,1401,کنسانتره خشک,1384316.0
کنور,1401,گندله,345285.0
کنور,1401,گندله نیمه پخته,0.0
کنور,1402,کنسانتره,87546.0
کنور,1402,کنسانتره خشک,1378335.0
کنور,1402,گندله,357443.0
کنور,1403,نرمه گندله,0.0
کنور,1403,کنسانتره,1430540.0
کنور,1403,گندله,412124.0
کنور,1404,نرمه گندله,0.0
کنور,1404,کنسانتره,1598687.0
کنور,1404,گندله,467777.0
کنور,1405,نرمه گندله,0.0
کنور,1405,کنسانتره,479448.0
کنور,1405,گندله,107214.0
کچاد,1400,آهن اسفنجی,1464736.0
کچاد,1400,ارسالی گندله به احیاء,0.0
کچاد,1400,فولاد,1054798.0
کچاد,1400,نرمه گندله (Pellet Fine),47674.0
کچاد,1400,کنسانتره آهن (خشک ),11022277.0
کچاد,1400,کنسانتره مصرف شده در تولید گندله,0.0
کچاد,1400,گندله,3809597.0
کچاد,1401,آهن اسفنجی,1615015.0
کچاد,1401,ارسالی گندله به احیاء,0.0
کچاد,1401,فولاد,1189218.0
کچاد,1401,نرمه گندله (Pellet Fine),18057.0
کچاد,1401,کنسانتره آهن (خشک ),10079097.0
کچاد,1401,کنسانتره مصرف شده در تولید گندله,0.0
کچاد,1401,گندله,3767937.0
کچاد,1402,آهن اسفنجی,1303484.0
کچاد,1402,ارسالی گندله به احیاء,213912.0
کچاد,1402,فولاد,971581.0
کچاد,1402,نرمه گندله (Pellet Fine),0.0
کچاد,1402,کنسانتره آهن (خشک ),8267831.0
کچاد,1402,کنسانتره مصرف شده در تولید گندله,0.0
کچاد,1402,گندله,3234754.0
کچاد,1403,آهن اسفنجی,1574758.0
کچاد,1403,ارسالی گندله به احیاء,0.0
کچاد,1403,فولاد,1028736.0
کچاد,1403,نرمه گندله (Pellet Fine),78725.0
کچاد,1403,کنسانتره آهن (خشک ),9193084.0
کچاد,1403,کنسانتره مصرف شده در تولید گندله,0.0
کچاد,1403,گندله,3832447.0
کچاد,1404,آهن اسفنجی,1606041.0
کچاد,1404,ارسالی گندله به احیاء,0.0
کچاد,1404,فولاد,1226548.0
کچاد,1404,نرمه گندله (Pellet Fine),59681.0
کچاد,1404,کنسانتره آهن (خشک ),10035736.0
کچاد,1404,کنسانتره مصرف شده در تولید گندله,0.0
کچاد,1404,گندله,3995482.0
کچاد,1405,آهن اسفنجی,396677.0
کچاد,1405,ارسالی گندله به احیاء,0.0
کچاد,1405,فولاد,292708.0
کچاد,1405,نرمه گندله (Pellet Fine),2442.0
کچاد,1405,کنسانتره آهن (خشک ),2061664.0
کچاد,1405,کنسانتره مصرف شده در تولید گندله,0.0
کچاد,1405,گندله,1049842.0
کگل,1400,کنسانتره سنگ آهن,15498994.0
کگل,1400,کنسانتره سنگ آهن صادراتی,0.0
کگل,1400,گندله,12172438.0
کگل,1400,گندله ریزدانه,119833.0
کگل,1400,گندله ریزدانه صادراتی,0.0
کگل,1400,گندله صادراتی,0.0
کگل,1401,کنسانتره سنگ آهن,10150756.0
کگل,1401,گندله,9789679.0
کگل,1401,گندله ریزدانه,97647.0
کگل,1401,گندله ریزدانه صادراتی,0.0
کگل,1402,ضایعات گندله و کنسانتره,0.0
کگل,1402,کنسانتره سنگ آهن,8009317.0
کگل,1402,گندله,8816609.0
کگل,1402,گندله ریزدانه,57799.0
