symbol,company,group,period_end,title,publish_dt,tracing_no,is_revision,excel_url,section,product,unit,month_production,month_sales_qty,month_sales_rate_rial,month_sales_amount_mrial,month,year
ارفع,آهن و فولاد ارفع,steel,1400/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,۱۴۰۰/۰۲/۰۵ ۱۵:۵۳:۴۶,740296,False,https://excel.codal.ir/service/Excel/GetAll/NF8m9AB6YdqsabhOOObOOOJ8JEfQ%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,75505.0,0.0,,0.0,1400-01,1400
ارفع,آهن و فولاد ارفع,steel,1400/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,۱۴۰۰/۰۲/۰۵ ۱۵:۵۳:۴۶,740296,False,https://excel.codal.ir/service/Excel/GetAll/NF8m9AB6YdqsabhOOObOOOJ8JEfQ%3d%3d/0,domestic,شمش فولادی,تن,79425.0,31551.0,107772369.0,3400326.0,1400-01,1400
ارفع,آهن و فولاد ارفع,steel,1400/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,۱۴۰۰/۰۲/۰۵ ۱۵:۵۳:۴۶,740296,False,https://excel.codal.ir/service/Excel/GetAll/NF8m9AB6YdqsabhOOObOOOJ8JEfQ%3d%3d/0,export,شمش فولادی,تن,0.0,0.0,0.0,0.0,1400-01,1400
ارفع,آهن و فولاد ارفع,steel,1400/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,۱۴۰۰/۰۳/۰۱ ۱۶:۲۴:۰۱,749200,False,https://excel.codal.ir/service/Excel/GetAll/0VtIZwPNUHxw5Jex01mhcQ%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,72223.0,0.0,,0.0,1400-02,1400
ارفع,آهن و فولاد ارفع,steel,1400/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,۱۴۰۰/۰۳/۰۱ ۱۶:۲۴:۰۱,749200,False,https://excel.codal.ir/service/Excel/GetAll/0VtIZwPNUHxw5Jex01mhcQ%3d%3d/0,domestic,شمش فولادی,تن,79486.0,46805.0,118716141.0,5556509.0,1400-02,1400
ارفع,آهن و فولاد ارفع,steel,1400/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,۱۴۰۰/۰۳/۰۱ ۱۶:۲۴:۰۱,749200,False,https://excel.codal.ir/service/Excel/GetAll/0VtIZwPNUHxw5Jex01mhcQ%3d%3d/0,export,شمش فولادی,تن,,,0.0,0.0,1400-02,1400
ارفع,آهن و فولاد ارفع,steel,1400/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,۱۴۰۰/۰۴/۰۵ ۱۵:۳۵:۰۹,762057,False,https://excel.codal.ir/service/Excel/GetAll/GLjRmAQQQaQQQK47AEQUKUWmQpUg%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,76335.0,0.0,,0.0,1400-03,1400
ارفع,آهن و فولاد ارفع,steel,1400/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,۱۴۰۰/۰۴/۰۵ ۱۵:۳۵:۰۹,762057,False,https://excel.codal.ir/service/Excel/GetAll/GLjRmAQQQaQQQK47AEQUKUWmQpUg%3d%3d/0,domestic,شمش فولادی,تن,72188.0,29013.0,127305070.0,3693502.0,1400-03,1400
ارفع,آهن و فولاد ارفع,steel,1400/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,۱۴۰۰/۰۴/۰۵ ۱۵:۳۵:۰۹,762057,False,https://excel.codal.ir/service/Excel/GetAll/GLjRmAQQQaQQQK47AEQUKUWmQpUg%3d%3d/0,export,شمش فولادی,تن,0.0,31252.0,130557020.0,4080168.0,1400-03,1400
ارفع,آهن و فولاد ارفع,steel,1400/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,۱۴۰۰/۰۵/۰۵ ۱۱:۱۲:۲۴,777124,False,https://excel.codal.ir/service/Excel/GetAll/jHGg6TwRvX3ReFhgpFO2Nw%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,64907.0,0.0,,0.0,1400-04,1400
ارفع,آهن و فولاد ارفع,steel,1400/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,۱۴۰۰/۰۵/۰۵ ۱۱:۱۲:۲۴,777124,False,https://excel.codal.ir/service/Excel/GetAll/jHGg6TwRvX3ReFhgpFO2Nw%3d%3d/0,domestic,شمش فولادی,تن,32445.0,53597.0,131473366.0,7046578.0,1400-04,1400
ارفع,آهن و فولاد ارفع,steel,1400/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,۱۴۰۰/۰۵/۰۵ ۱۱:۱۲:۲۴,777124,False,https://excel.codal.ir/service/Excel/GetAll/jHGg6TwRvX3ReFhgpFO2Nw%3d%3d/0,export,شمش فولادی,تن,0.0,57751.0,121864020.0,7037769.0,1400-04,1400
ارفع,آهن و فولاد ارفع,steel,1400/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,۱۴۰۰/۰۶/۰۶ ۱۲:۳۴:۵۵,786387,False,https://excel.codal.ir/service/Excel/GetAll/DZEO1reFuUV5m1NDskV45g%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,50975.0,0.0,,0.0,1400-05,1400
ارفع,آهن و فولاد ارفع,steel,1400/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,۱۴۰۰/۰۶/۰۶ ۱۲:۳۴:۵۵,786387,False,https://excel.codal.ir/service/Excel/GetAll/DZEO1reFuUV5m1NDskV45g%3d%3d/0,domestic,شمش فولادی,تن,21760.0,15950.0,141886144.0,2263084.0,1400-05,1400
ارفع,آهن و فولاد ارفع,steel,1400/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,۱۴۰۰/۰۶/۰۶ ۱۲:۳۴:۵۵,786387,False,https://excel.codal.ir/service/Excel/GetAll/DZEO1reFuUV5m1NDskV45g%3d%3d/0,export,شمش فولادی,تن,0.0,41119.0,149212189.0,6135456.0,1400-05,1400
ارفع,آهن و فولاد ارفع,steel,1400/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,۱۴۰۰/۰۷/۰۶ ۱۱:۳۲:۰۷,800159,False,https://excel.codal.ir/service/Excel/GetAll/qKwY3xQQQaQQQcqbnxTzY2O3xfzg%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,70030.0,0.0,,0.0,1400-06,1400
ارفع,آهن و فولاد ارفع,steel,1400/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,۱۴۰۰/۰۷/۰۶ ۱۱:۳۲:۰۷,800159,False,https://excel.codal.ir/service/Excel/GetAll/qKwY3xQQQaQQQcqbnxTzY2O3xfzg%3d%3d/0,domestic,شمش فولادی,تن,51786.0,34206.0,144706075.0,4949816.0,1400-06,1400
ارفع,آهن و فولاد ارفع,steel,1400/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,۱۴۰۰/۰۷/۰۶ ۱۱:۳۲:۰۷,800159,False,https://excel.codal.ir/service/Excel/GetAll/qKwY3xQQQaQQQcqbnxTzY2O3xfzg%3d%3d/0,export,شمش فولادی,تن,0.0,0.0,0.0,0.0,1400-06,1400
ارفع,آهن و فولاد ارفع,steel,1400/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,۱۴۰۰/۰۸/۰۴ ۱۱:۲۸:۲۲,810142,False,https://excel.codal.ir/service/Excel/GetAll/Ul3ja4ldmXVTM7NL9bkM6Q%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,193.0,0.0,,0.0,1400-07,1400
