symbol,year,sales_mrial,production
ارفع,1400,96104375.0,1478748.0
ارفع,1401,135645811.0,1763041.0
ارفع,1402,137684076.0,1610890.0
ارفع,1403,183931061.0,1698715.0
ارفع,1404,296127919.0,1997712.0
ارفع,1405,140552976.0,572707.0
فسبزوار,1400,34659583.0,255842435.0
فسبزوار,1401,57978860.0,617033.0
فسبزوار,1402,105099014.0,825300.0
فسبزوار,1403,95278737.0,640957.0
فسبزوار,1404,168997588.0,824505.0
فسبزوار,1405,67405273.0,198848.0
فصبا,1400,24727163.0,170557.0
فصبا,1401,89445369.0,829381.0
فصبا,1402,153981798.0,1219865.0
فصبا,1403,122668439.0,937524.0
فصبا,1404,221719134.0,1208547.0
فصبا,1405,49010400.0,273092.0
کاوه,1400,188014120.0,3205862.0
کاوه,1401,226559246.0,3274021.0
کاوه,1402,277954566.0,2765047.0
کاوه,1403,327303265.0,2780264.0
کاوه,1404,478695471.0,3229381.0
کاوه,1405,156539221.0,797801.0
کنور,1400,30105725.0,1738696.0
کنور,1401,26420024.0,1729601.0
کنور,1402,57135925.0,1823324.0
کنور,1403,61154976.0,1842664.0
کنور,1404,95946928.0,2066464.0
کنور,1405,35602074.0,586662.0
کچاد,1400,432258078.0,17399082.0
کچاد,1401,401857116.0,16669324.0
کچاد,1402,450137794.0,13991562.0
کچاد,1403,561763031.0,15707750.0
کچاد,1404,897841665.0,16923488.0
کچاد,1405,254703644.0,3803333.0
کگل,1400,458539298.0,27791265.0
کگل,1401,376693172.0,20038082.0
کگل,1402,444865413.0,16883725.0
کگل,1403,715886861.0,22294645.0
کگل,1404,1236173982.0,26232786.0
کگل,1405,346833051.0,6038774.0
کگهر,1400,124248178.0,8541145.0
کگهر,1401,238139750.0,9764239.0
کگهر,1402,329164218.0,12350465.0
کگهر,1403,398077669.0,13029576.0
کگهر,1404,627112048.0,14336213.0
کگهر,1405,163866513.0,3407336.0
