date,usd_irr,date_jalali
2011-11-26,13700.0,1390/09/05
2011-11-27,13440.0,1390/09/06
2011-11-28,13350.0,1390/09/07
2011-11-30,13590.0,1390/09/09
2011-12-03,13623.0,1390/09/12
2011-12-07,13493.0,1390/09/16
2011-12-10,13450.0,1390/09/19
2011-12-11,13530.0,1390/09/20
2011-12-12,13630.0,1390/09/21
2011-12-13,13770.0,1390/09/22
2011-12-14,13730.0,1390/09/23
2011-12-17,14080.0,1390/09/26
2011-12-18,14500.0,1390/09/27
2011-12-19,15300.0,1390/09/28
2011-12-20,15150.0,1390/09/29
2011-12-21,14304.0,1390/09/30
2011-12-24,14800.0,1390/10/03
2011-12-25,15250.0,1390/10/04
2011-12-26,15150.0,1390/10/05
2011-12-27,15200.0,1390/10/06
2011-12-28,15388.0,1390/10/07
2011-12-31,15900.0,1390/10/10
2012-01-01,17400.0,1390/10/11
2012-01-02,16200.0,1390/10/12
2012-01-03,15800.0,1390/10/13
2012-01-04,15979.0,1390/10/14
2012-01-07,16550.0,1390/10/17
2012-01-08,16900.0,1390/10/18
2012-01-09,16900.0,1390/10/19
2012-01-10,16920.0,1390/10/20
2012-01-11,16914.0,1390/10/21
2012-01-15,16900.0,1390/10/25
2012-01-16,17400.0,1390/10/26
2012-01-17,18200.0,1390/10/27
2012-01-18,18790.0,1390/10/28
2012-01-20,19300.0,1390/10/30
2012-01-22,19100.0,1390/11/02
2012-01-25,17100.0,1390/11/05
2012-01-28,18300.0,1390/11/08
2012-01-29,18300.0,1390/11/09
2012-01-31,18300.0,1390/11/11
2012-02-01,17830.0,1390/11/12
2012-02-04,18500.0,1390/11/15
2012-02-05,18800.0,1390/11/16
2012-02-06,18900.0,1390/11/17
2012-02-07,19350.0,1390/11/18
2012-02-08,19350.0,1390/11/19
2012-02-12,19000.0,1390/11/23
2012-02-13,19350.0,1390/11/24
2012-02-14,19500.0,1390/11/25
2012-02-15,19560.0,1390/11/26
2012-02-18,19200.0,1390/11/29
2012-02-19,19400.0,1390/11/30
